text,label
Send something spicy; I’ll send mine after 😉,scam
"Hey, want to grab coffee tomorrow at 10?",normal
Send Apple Google Play gift card codes; I just need to cover a fee.,scam
I’m new to your city—can you help with a small transfer until payday?,scam
Install TeamViewer so I can help set up your banking quickly.,scam
Wire money to this account; my bank app is blocked here.,scam
The venue changed to the community hall on Main Street.,normal
Add me on Messenger so we can share private photos.,scam
"Signal is bad on the ship; messages only, okay?",scam
Bring your ID for the building security desk.,normal
Gym after work? I’ll bring a spare towel.,normal
Could you send a wire transfer transfer? I’ll reimburse after my pay clears.,scam
Add me on Signal so I can show you trades.,scam
Don’t forget sunscreen; it’s going to be hot.,normal
Add me on WhatsApp so we can share private photos.,scam
Zoom link is in the calendar invite—join a few minutes early.,normal
Withdrawals are blocked until you add more margin for security.,scam
See you at the workshop—room 3.12.,normal
"WhatsApp is bad on the ship; messages only, okay?",scam
I made pasta; leftovers are in the fridge.,normal
Add me on Signal so we can share private photos.,scam
I’m deployed overseas with the military; I can’t video call for security reasons.,scam
Add me on WhatsApp so I can show you trades.,scam
Install AnyDesk; I’ll configure your account safely for you.,scam
To withdraw profits you must pay the verification fee first.,scam
"Hi, is this Anna? Sorry, wrong number—want to chat?",scam
Movie at 8pm? I can grab the seats.,normal
Add me on Telegram so we can share private photos.,scam
Use this link; it’s our private platform for signals.,scam
"Let’s move this to Signal, easier to share screenshots.",scam
The charger is in the top drawer.,normal
Could you send a Western Union? I’ll reimburse after my pay clears.,scam
Send Google Play Apple gift card codes; I’ll return it when my claim clears.,scam
Just landed—message you after I get my bag.,normal
Buy Vanilla Visa Vanilla Visa gift cards and send the codes—I’ll pay you back.,scam
We should invest together—couples who grow wealth stay together.,scam
Pick-up is outside Gate B at 4:20.,normal
Register on this platform and deposit USDT to start earning.,scam
I’ll return everything once my claim clears—just help me this week.,scam
Share your ID and address—customs needs it to release my luggage.,scam
Send Apple Apple gift card codes; I just need to cover a fee.,scam
"I work on an offshore oil rig, video calls are difficult—let's stick to chat.",scam
Congrats on the new job! Let’s celebrate this weekend.,normal
The meeting moved to 3pm—see you there.,normal
Buy a Vanilla Visa gift card and send the code to keep this private.,scam
I’ll send the playlist; add your songs too.,normal
Send Google Play Vanilla Visa gift card codes; I’ll return it when my claim clears.,scam
Buy a Amazon gift card and send the code to keep this private.,scam
Please send a photo of your passport so I can book the ticket.,scam
Game night Saturday at mine—bring snacks!,normal
Please send via MoneyGram today; I’m stranded and will repay soon.,scam
Let’s move to Signal; it’s easier to talk there.,scam
My insurance payout is due; can you help now and I’ll reimburse?,scam
Let’s do a run at 6am if the weather holds.,normal
"Messenger is bad on the ship; messages only, okay?",scam
Buy a Apple gift card and send the code to keep this private.,scam
So do you mind exchanging your pictures,scam
I booked the tickets; check your email for the QR code.,normal
So do you mind exchanging your pictures,scam
